,no_rabbithole,rabbit_hole,accuracy,macro avg,weighted avg,target,algorithm,score overall
recall,1,0,0.999801153,0.5,0.999801153,sessions_labeled_emotion_shame,SVM,0.999801153
f1-score,0.999900567,0,0.999801153,0.499950283,0.99970174,sessions_labeled_emotion_shame,SVM,0.999801153
support,5028,1,0.999801153,5029,5029,sessions_labeled_emotion_shame,SVM,0.999801153
precision,0.992420763,0.876981268,0.927720573,0.934701015,0.935295343,sessions_labeled_space_012,KNN,0.927720573
recall,0.8909699,0.698246413,0.795628662,0.794608156,0.795628662,sessions_labeled_finished,decision_tree,0.795628662
f1-score,0.815011218,0.771709036,0.795628662,0.793360127,0.79358942,sessions_labeled_finished,decision_tree,0.795628662
support,4485,4391,0.795628662,8876,8876,sessions_labeled_finished,decision_tree,0.795628662
precision,0.983949756,0.865858009,0.917112569,0.924903883,0.925255594,sessions_labeled_time,KNN,0.917112569
recall,0.920150054,0.882673943,0.901581722,0.901411998,0.901581722,sessions_labeled_finished,random_forest,0.901581722
f1-score,0.904160084,0.898860795,0.901581722,0.901510439,0.901534439,sessions_labeled_finished,random_forest,0.901581722
support,3732,3665,0.901581722,7397,7397,sessions_labeled_finished,random_forest,0.901581722
precision,0.750986657,0.862447257,0.795628662,0.806716957,0.806126753,sessions_labeled_finished,decision_tree,0.795628662
recall,0.66845039,0.942382145,0.80396575,0.805416268,0.80396575,sessions_labeled_finished,KNN,0.80396575
f1-score,0.775077559,0.826277955,0.80396575,0.800677757,0.800406642,sessions_labeled_finished,KNN,0.80396575
support,4485,4391,0.80396575,8876,8876,sessions_labeled_finished,KNN,0.80396575
precision,0.980266286,0.857832618,0.910389875,0.919049452,0.919286872,sessions_labeled_space,KNN,0.910389875
recall,0.981102004,0.021978022,0.859614237,0.501540013,0.859614237,sessions_labeled_finished,SVM,0.859614237
f1-score,0.924281424,0.038147139,0.859614237,0.481214282,0.812038923,sessions_labeled_finished,SVM,0.859614237
support,4392,637,0.859614237,5029,5029,sessions_labeled_finished,SVM,0.859614237
precision,0.977980792,0.856835307,0.909377222,0.917408049,0.9180419,sessions_labeled_emotion_calm,KNN,0.909377222
recall,0.863415621,0.790745714,0.827455791,0.827080667,0.827455791,sessions_labeled_more,decision_tree,0.827455791
f1-score,0.834865975,0.819349315,0.827455791,0.827107645,0.827187742,sessions_labeled_more,decision_tree,0.827455791
support,4942,4841,0.827455791,9783,9783,sessions_labeled_more,decision_tree,0.827455791
precision,0.984300666,0.852406417,0.908905645,0.918353542,0.919146466,sessions_labeled_agency_012,KNN,0.908905645
recall,0.986650485,0.974708654,0.980743285,0.98067957,0.980743285,sessions_labeled_more,random_forest,0.980743285
f1-score,0.981054664,0.980421499,0.980743285,0.980738081,0.98074146,sessions_labeled_more,random_forest,0.980743285
support,4120,4033,0.980743285,8153,8153,sessions_labeled_more,random_forest,0.980743285
precision,0.808143939,0.850099933,0.827455791,0.829121936,0.828905359,sessions_labeled_more,decision_tree,0.827455791
recall,0.819910967,0.975624871,0.896964121,0.897767919,0.896964121,sessions_labeled_more,KNN,0.896964121
f1-score,0.889376646,0.903577578,0.896964121,0.896477112,0.896403807,sessions_labeled_more,KNN,0.896964121
support,4942,4841,0.896964121,9783,9783,sessions_labeled_more,KNN,0.896964121
precision,0.971702638,0.841439515,0.896964121,0.906571077,0.907243497,sessions_labeled_more,KNN,0.896964121
recall,0.994476268,0.014184397,0.96699145,0.504330333,0.96699145,sessions_labeled_more,SVM,0.96699145
f1-score,0.983211974,0.023529412,0.96699145,0.503370693,0.956304986,sessions_labeled_more,SVM,0.96699145
support,4888,141,0.96699145,5029,5029,sessions_labeled_more,SVM,0.96699145
precision,0.879420537,0.835890464,0.856649396,0.857655501,0.857883256,sessions_labeled_emotion_calm,decision_tree,0.856649396
recall,0.900946245,0.862454287,0.881787845,0.881700266,0.881787845,sessions_labeled_regret,decision_tree,0.881787845
f1-score,0.88447475,0.878972979,0.881787845,0.881723865,0.881736382,sessions_labeled_regret,decision_tree,0.881787845
support,4967,4922,0.881787845,9889,9889,sessions_labeled_regret,decision_tree,0.881787845
precision,0.859047619,0.832013,0.845252902,0.84553031,0.84570404,sessions_labeled_emotion_happiness,decision_tree,0.845252902
recall,0.990270007,0.984503632,0.987380172,0.98738682,0.987380172,sessions_labeled_regret,random_forest,0.987380172
f1-score,0.987387824,0.987372511,0.987380172,0.987380168,0.98738015,sessions_labeled_regret,random_forest,0.987380172
support,4111,4130,0.987380172,8241,8241,sessions_labeled_regret,random_forest,0.987380172
precision,0.97955622,0.827302919,0.890053432,0.90342957,0.904227445,sessions_labeled_agency,KNN,0.890053432
recall,0.869740286,0.991466883,0.930326626,0.930603585,0.930326626,sessions_labeled_regret,KNN,0.930326626
f1-score,0.926144281,0.934060676,0.930326626,0.930102478,0.930084467,sessions_labeled_regret,KNN,0.930326626
support,4967,4922,0.930326626,9889,9889,sessions_labeled_regret,KNN,0.930326626
precision,0.969579789,0.8049922,0.871165008,0.887285994,0.888343667,sessions_labeled_emotion_happiness,KNN,0.871165008
recall,0.996556613,0,0.978325711,0.498278307,0.978325711,sessions_labeled_regret,SVM,0.978325711
f1-score,0.989044125,0,0.978325711,0.494522063,0.970950655,sessions_labeled_regret,SVM,0.978325711
support,4937,92,0.978325711,5029,5029,sessions_labeled_regret,SVM,0.978325711
precision,0.922177791,0.735644444,0.80396575,0.828911118,0.829898845,sessions_labeled_finished,KNN,0.80396575
recall,0.915837644,0.901940962,0.908945046,0.908889303,0.908945046,sessions_labeled_regret_765,decision_tree,0.908945046
f1-score,0.910223453,0.907629705,0.908945046,0.908926579,0.908936983,sessions_labeled_regret_765,decision_tree,0.908945046
support,5026,4946,0.908945046,9972,9972,sessions_labeled_regret_765,decision_tree,0.908945046
precision,0.873682076,0.144329897,0.859614237,0.509005987,0.781298434,sessions_labeled_finished,SVM,0.859614237
recall,0.998076461,0.990604674,0.994344164,0.994340567,0.994344164,sessions_labeled_regret_765,random_forest,0.994344164
f1-score,0.994370583,0.994317495,0.994344164,0.994344039,0.994344065,sessions_labeled_regret_765,random_forest,0.994344164
support,4159,4151,0.994344164,8310,8310,sessions_labeled_regret_765,random_forest,0.994344164
precision,0.992825827,0.090909091,0.990853052,0.541867459,0.98619013,sessions_labeled_emotion_interest,SVM,0.990853052
recall,0.894946279,0.990093004,0.942137986,0.942519642,0.942137986,sessions_labeled_regret_765,KNN,0.942137986
f1-score,0.939726314,0.944364092,0.942137986,0.942045203,0.9420266,sessions_labeled_regret_765,KNN,0.942137986
support,5026,4946,0.942137986,9972,9972,sessions_labeled_regret_765,KNN,0.942137986
precision,0.9722,0.068965517,0.96699145,0.520582759,0.946875669,sessions_labeled_more,SVM,0.96699145
recall,0.997996795,0,0.990654206,0.498998397,0.990654206,sessions_labeled_regret_765,SVM,0.990654206
f1-score,0.995305164,0,0.990654206,0.497652582,0.987982378,sessions_labeled_regret_765,SVM,0.990654206
support,4992,37,0.990654206,5029,5029,sessions_labeled_regret_765,SVM,0.990654206
precision,0.957715431,0.025641026,0.950487174,0.491678228,0.91842337,sessions_labeled_emotion_happiness,SVM,0.950487174
recall,0.916429443,0.734836066,0.825984895,0.825632754,0.825984895,sessions_labeled_space,decision_tree,0.825984895
f1-score,0.840936655,0.807930607,0.825984895,0.824433631,0.824497635,sessions_labeled_space,decision_tree,0.825984895
support,4918,4880,0.825984895,9798,9798,sessions_labeled_space,decision_tree,0.825984895
precision,0.967341214,0,0.960031815,0.483670607,0.935987741,sessions_labeled_agency,SVM,0.960031815
recall,0.986281235,0.976242959,0.981261482,0.981262097,0.981261482,sessions_labeled_space,random_forest,0.981261482
f1-score,0.981352834,0.981169231,0.981261482,0.981261032,0.981261021,sessions_labeled_space,random_forest,0.981261482
support,4082,4083,0.981261482,8165,8165,sessions_labeled_space,random_forest,0.981261482
precision,0.9764,0,0.970769537,0.4882,0.953489839,sessions_labeled_agency_012,SVM,0.970769537
recall,0.838348922,0.982991803,0.910389875,0.910670363,0.910389875,sessions_labeled_space,KNN,0.910389875
f1-score,0.903770276,0.916157372,0.910389875,0.909963824,0.909939803,sessions_labeled_space,KNN,0.910389875
