,no_rabbithole,rabbit_hole,accuracy,macro avg,weighted avg,target,algorithm,score
f1-score,0.4444444444444445,0.5,0.47368421052631576,0.4722222222222222,0.47076023391812866,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_track_of_time_6.0,decision_tree,0.47368421052631576
support,10.0,9.0,0.47368421052631576,19.0,19.0,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_track_of_time_6.0,decision_tree,0.47368421052631576
precision,0.8333333333333334,0.7,0.75,0.7666666666666666,0.7666666666666666,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_track_of_time_6.0,random_forest,0.75
recall,0.625,0.875,0.75,0.75,0.75,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_track_of_time_6.0,random_forest,0.75
f1-score,0.7142857142857143,0.7777777777777777,0.75,0.746031746031746,0.746031746031746,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_track_of_time_6.0,random_forest,0.75
support,8.0,8.0,0.75,16.0,16.0,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_track_of_time_6.0,random_forest,0.75
precision,0.0,0.4444444444444444,0.42105263157894735,0.2222222222222222,0.21052631578947367,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_track_of_time_6.0,naive_bayes,0.42105263157894735
recall,0.0,0.8888888888888888,0.42105263157894735,0.4444444444444444,0.42105263157894735,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_track_of_time_6.0,naive_bayes,0.42105263157894735
f1-score,0.0,0.5925925925925926,0.42105263157894735,0.2962962962962963,0.2807017543859649,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_track_of_time_6.0,naive_bayes,0.42105263157894735
support,10.0,9.0,0.42105263157894735,19.0,19.0,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_track_of_time_6.0,naive_bayes,0.42105263157894735
precision,0.6,0.6050420168067226,0.6021897810218978,0.6025210084033613,0.6024658038397841,user-sessions_features_labeled_more_than_intention,decision_tree,0.6021897810218978
recall,0.6642857142857143,0.5373134328358209,0.6021897810218978,0.6007995735607676,0.6021897810218978,user-sessions_features_labeled_more_than_intention,decision_tree,0.6021897810218978
f1-score,0.6305084745762711,0.5691699604743083,0.6021897810218978,0.5998392175252898,0.6005108070957491,user-sessions_features_labeled_more_than_intention,decision_tree,0.6021897810218978
support,140.0,134.0,0.6021897810218978,274.0,274.0,user-sessions_features_labeled_more_than_intention,decision_tree,0.6021897810218978
precision,0.5752212389380531,0.5739130434782609,0.5745614035087719,0.574567141208157,0.574567141208157,user-sessions_features_labeled_more_than_intention,random_forest,0.5745614035087719
recall,0.5701754385964912,0.5789473684210527,0.5745614035087719,0.5745614035087719,0.5745614035087719,user-sessions_features_labeled_more_than_intention,random_forest,0.5745614035087719
f1-score,0.5726872246696035,0.5764192139737991,0.5745614035087719,0.5745532193217013,0.5745532193217013,user-sessions_features_labeled_more_than_intention,random_forest,0.5745614035087719
support,114.0,114.0,0.5745614035087719,228.0,228.0,user-sessions_features_labeled_more_than_intention,random_forest,0.5745614035087719
precision,0.5352112676056338,0.5737704918032787,0.5437956204379562,0.5544908797044562,0.5540686984176207,user-sessions_features_labeled_more_than_intention,naive_bayes,0.5437956204379562
recall,0.8142857142857143,0.26119402985074625,0.5437956204379562,0.5377398720682303,0.5437956204379562,user-sessions_features_labeled_more_than_intention,naive_bayes,0.5437956204379562
f1-score,0.6458923512747875,0.3589743589743589,0.5437956204379562,0.5024333551245732,0.5055747929964757,user-sessions_features_labeled_more_than_intention,naive_bayes,0.5437956204379562
support,140.0,134.0,0.5437956204379562,274.0,274.0,user-sessions_features_labeled_more_than_intention,naive_bayes,0.5437956204379562
