,no_rabbithole,rabbit_hole,accuracy,macro avg,weighted avg,target,algorithm,score
f1-score,0.3333333333333333,0.6666666666666666,0.5555555555555556,0.5,0.5555555555555556,sessions_labeled_emotion_sadness,decision_tree,0.5555555555555556
support,3.0,6.0,0.5555555555555556,9.0,9.0,sessions_labeled_emotion_sadness,decision_tree,0.5555555555555556
precision,0.5,1.0,0.75,0.75,0.875,sessions_labeled_emotion_sadness,random_forest,0.75
recall,1.0,0.6666666666666666,0.75,0.8333333333333333,0.75,sessions_labeled_emotion_sadness,random_forest,0.75
f1-score,0.6666666666666666,0.8,0.75,0.7333333333333334,0.7666666666666667,sessions_labeled_emotion_sadness,random_forest,0.75
support,2.0,6.0,0.75,8.0,8.0,sessions_labeled_emotion_sadness,random_forest,0.75
precision,0.25,0.6,0.4444444444444444,0.425,0.4833333333333333,sessions_labeled_emotion_sadness,KNN,0.4444444444444444
recall,0.3333333333333333,0.5,0.4444444444444444,0.41666666666666663,0.4444444444444444,sessions_labeled_emotion_sadness,KNN,0.4444444444444444
f1-score,0.28571428571428575,0.5454545454545454,0.4444444444444444,0.4155844155844156,0.4588744588744588,sessions_labeled_emotion_sadness,KNN,0.4444444444444444
support,3.0,6.0,0.4444444444444444,9.0,9.0,sessions_labeled_emotion_sadness,KNN,0.4444444444444444
precision,0.0,0.5,0.3333333333333333,0.25,0.3333333333333333,sessions_labeled_emotion_sadness,naive_bayes,0.3333333333333333
recall,0.0,0.5,0.3333333333333333,0.25,0.3333333333333333,sessions_labeled_emotion_sadness,naive_bayes,0.3333333333333333
f1-score,0.0,0.5,0.3333333333333333,0.25,0.3333333333333333,sessions_labeled_emotion_sadness,naive_bayes,0.3333333333333333
support,3.0,6.0,0.3333333333333333,9.0,9.0,sessions_labeled_emotion_sadness,naive_bayes,0.3333333333333333
precision,0.3333333333333333,0.0,0.3333333333333333,0.16666666666666666,0.1111111111111111,sessions_labeled_emotion_sadness,SVM,0.3333333333333333
recall,1.0,0.0,0.3333333333333333,0.5,0.3333333333333333,sessions_labeled_emotion_sadness,SVM,0.3333333333333333
f1-score,0.5,0.0,0.3333333333333333,0.25,0.16666666666666666,sessions_labeled_emotion_sadness,SVM,0.3333333333333333
support,3.0,6.0,0.3333333333333333,9.0,9.0,sessions_labeled_emotion_sadness,SVM,0.3333333333333333
precision,0.25,0.0,0.25,0.125,0.0625,sessions_labeled_emotion_shame,decision_tree,0.25
recall,1.0,0.0,0.25,0.5,0.25,sessions_labeled_emotion_shame,decision_tree,0.25
f1-score,0.4,0.0,0.25,0.2,0.1,sessions_labeled_emotion_shame,decision_tree,0.25
support,1.0,3.0,0.25,4.0,4.0,sessions_labeled_emotion_shame,decision_tree,0.25
precision,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.4444444444444444,sessions_labeled_emotion_shame,random_forest,0.6666666666666666
recall,0.0,1.0,0.6666666666666666,0.5,0.6666666666666666,sessions_labeled_emotion_shame,random_forest,0.6666666666666666
f1-score,0.0,0.8,0.6666666666666666,0.4,0.5333333333333333,sessions_labeled_emotion_shame,random_forest,0.6666666666666666
support,1.0,2.0,0.6666666666666666,3.0,3.0,sessions_labeled_emotion_shame,random_forest,0.6666666666666666
precision,0.25,0.0,0.25,0.125,0.0625,sessions_labeled_emotion_shame,KNN,0.25
recall,1.0,0.0,0.25,0.5,0.25,sessions_labeled_emotion_shame,KNN,0.25
f1-score,0.4,0.0,0.25,0.2,0.1,sessions_labeled_emotion_shame,KNN,0.25
support,1.0,3.0,0.25,4.0,4.0,sessions_labeled_emotion_shame,KNN,0.25
